FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Republic,Luminara Unduli,Opening Salvo,,,Pelta Transport,Expert Shield Tech,Projection Experts,"Electronic 
Countermeasures",,,,,,,,,Venator 1,Tranquility,Expert Shield Tech,Local Fire Control,Flak Guns,DBY-827 Heavy Turbolasers,"Intensify
Firepower",,,Pelta Transport,Expert Shield Tech,Projection Experts,"Electronic 
Countermeasures",Parts Resupply,,,Pelta Transport,Expert Shield Tech,Projection Experts,"Electronic 
Countermeasures",Parts Resupply,,,Pelta Transport,Expert Shield Tech,Projection Experts,"Electronic 
Countermeasures",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
Rebel,General Rieekan,Most Wanted,Planetary Ion Cannon,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,0,393,,,
Republic,Luminara Unduli,,,,Venator 2,Tranquility,Clone Captain Silver,Flight Controllers,Flag Bridge,Thermal Shields,Mercy Mission,,,,,,"Consular Armed
Cruiser",Radiant VII,Comms Net,,,,,,,Acclamator 1,Nevoota Bee,Ahsoka Tano (rep),Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,"Delta-7
(Anakin Skywalker)","V-19
(Axe)",V-19,V-19,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,125,400,,,
Rebel,Krysta Agate,Most Wanted,Rift Ambush,Infested Fields,"MC80 Battle
Cruiser",Mon Karren,Raymus Antilles,"Caitken and 
Shollan",Nav Team,Spinal Armament,,,,,,,CR90-A,Jaina's Light,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Parts Resupply,,,,,"GR-75 Medium
Transports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","X-wing (Rogue 
Squadron)",A-wing,YT-2400,,,,,,,,,,,,,97,400,,,
Republic,Luminara Unduli,,,,Charger c70,Radiant VII,Hondo Ohnaka,Munitions Resupply,,,,,,,,,Acclamator 2,Skilled First Officer,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,Acclamator 2,Skilled First Officer,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,Victory 1 (GAR),Adi Gallia,SPHA-T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,"Delta-7
(Anakin Skywalker)","V-19
(Axe)",V-19,V-19,,,,,,,,,,,,,,,65,398,,,
Republic,Luminara Unduli,,,,Acclamator 2,Implacable,Expert Shield Tech,Thermal Shields,Ordnance Pods,"Linked Turbolaser
Towers",,,,,,,Venator 1,Tranquility,Clone Captain Zak,Ordnance Experts,SPHA-T,Ordnance Pods,"Linked Turbolaser
Towers",Mercy Mission,,Pelta Transport,Projection Experts,Parts Resupply,,,,,Pelta Transport,Projection Experts,Munitions Resupply,,,,,Charger c70,Clone Navigation Officer,"Auxiliary 
Shield Teams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,0,399,,,
Rebel,Krysta Agate,Advanced Gunnery,,Sensor Net,Starhawk 1,Concord,Raymus Antilles,Walex Blissex,Boarding Engineers,Point Defense Ion Cannons,"Linked Turbolaser
Towers","Magnite Crystal
Tractor Beam Array",,,,,"GR-75 Medium
Transports",Adar Tallon,,,,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"Y-wing (Gold 
Squadron)",YT-2400,YT-2400,YT-2400,VCX-100 Freighter,VCX-100 Freighter,,,,,,,,,,,130,385,,,
Rebel,General Cracken,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,,,,CR90-A,Hondo Ohnaka,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-B,SW-7 Ion Batteries,,,,,,CR90-B,SW-7 Ion Batteries,,,,,,"GR-75 Medium
Transports",Bright Hope,Slicer Tools,,,,,,,,,,,,,,,349,"A-wing (Tycho 
Celchu)",A-wing,A-wing,A-wing,,,,,,,,,,,,,,,49,398,,,
Rebel,Admiral Ackbar,,,,"MC80 Assault
Cruiser",Home One,Walex Blissex,Engine Techs,"Electronic 
Countermeasures",Reactive Gunnery,Point Defense Ion Cannons,"Quad Battery 
Turrets",,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,"GR-75 Medium
Transports",Quantum Storm,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",A-wing,A-wing,,,,,,,,,,,,,,,55,399,,,
Separatist,TF-1726,Ion Storm,Asteroid Tactics,,"Hardcell-class
Battle Refit",Foreman's Labor,Tikkes,"Reserve
Hangar Deck","Reinforced 
Blast Doors","Linked Turbolaser
Towers",,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Rune Haako,B2 Rocket Troopers,Swivel-Mount Batteries,Ordnance Experts,"Assault Concussion 
Missiles",,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Reinforced 
Blast Doors","Linked Turbolaser
Towers",,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Reinforced 
Blast Doors","Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,393,,,
Empire,Admiral Motti,Most Wanted,,,"Quasar
Fire 2",Flight Commander,Flight Controllers,Ruthless Strategists,Boosted Comms,,,,,,,,Venator 2 (Imp),"Emperor Palpatine
(Officer)",Ordnance Experts,"Electronic 
Countermeasures",External Racks,"Expanded 
Launchers","Linked Turbolaser
Towers",,,"Gozanti
Cruisers",Suppressor,Commander Woldar,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,"TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","JumpMaster 5000
(Tel Trevura)","Hound's Tooth 
(Bossk)","TIE Fighter 
(Black Squadron)","TIE Advanced 
(Tempest Squadron)",TIE Bomber,TIE Bomber,,,,,,,,,,,126,399,,,
Rebel,Admiral Ackbar,Most Wanted,Hyperspace Assault,,"Assault Frigate
Mk2B",Intel Officer,"Caitken and 
Shollan","Electronic 
Countermeasures",Slaved Turrets,,,,,,,,"MC30c
Scout",Foresight,Intel Officer,Ordnance Experts,External Racks,"Turbolaser Reroute 
Circuits",,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,CR90-A,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,"GR-75 Medium
Transports",Sabine Wren,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",,,,,,,,,,,,,,,,,33,399,,,
Empire,General Romodi,,Asteroid Tactics,,ISD Kuat,"Emperor Palpatine
(Officer)",Local Fire Control,Flak Guns,Reactive Gunnery,Leading Shots,,,,,,,Onager Testbed,Cataclysm,Intel Officer,"Weapons Battery
Techs",Sensor Team,"Orbital Bombardment
Particle Cannons",,,,"Gozanti
Assault",Hondo Ohnaka,Parts Resupply,,,,,"Gozanti
Cruisers",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)",,,,,,,,,,,,,,,,66,400,,,
Republic,Plo Koon,Rift Assault,,,Venator 2,Tranquility,Clone Captain Silver,Flight Controllers,Boosted Comms,"Electronic 
Countermeasures",,,,,,,Pelta Medical,Clone Navigation Officer,"Fighter Coordination 
Team","Expanded 
Hangar Bay",,,,,,Pelta Transport,TB-73,Hondo Ohnaka,"Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,"Delta-7
(Anakin Skywalker)","V-19
(Axe)",Delta-7,ARC-170,ARC-170,ARC-170,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,,123,394,,,
Empire,Admiral Motti,,Contested Outpost,,Venator 2 (Imp),Skilled First Officer,Ordnance Experts,"Electronic 
Countermeasures","Expanded 
Launchers",External Racks,"Linked Turbolaser
Towers",,,,,,ISD 2,"Emperor Palpatine
(Officer)","Weapons Battery
Techs","Hardened 
Bulkheads","Electronic 
Countermeasures",Overload Pulse,H9 Turbolasers,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Munitions Resupply,,,,,"Gozanti
Cruisers",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,"TIE Interceptor 
(Ciena Ree)","TIE Fighter 
(Valen Rudor)",,,,,,,,,,,,,,,,,30,399,,,
Empire,Admiral Sloane,,Fighter Ambush,,ISD 2,Chimera,Commander Vanto,"Darth Vader 
(Boarding)","Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,"Entrapment 
Formation!",,,,,"Quasar
Fire 1",Squall,Flight Controllers,Boosted Comms,"Reserve
Hangar Deck",,,,,"Gozanti
Cruisers",Hondo Ohnaka,"Reserve
Hangar Deck",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Valen Rudor)","TIE Interceptor 
(Saber Squadron)",TIE Fighter,TIE Interceptor,TIE Defender,,,,,,,,,,,116,399,,,
Empire,Moff Jerjerrod,,,,"Star Dreadnought
Command Prototype","Emperor Palpatine
(Officer)",Expert Shield Tech,Reeva Demesne,Local Fire Control,Flak Guns,"Quad Battery 
Turrets",,,,,,Onager Testbed,Skilled First Officer,Sensor Team,"Orbital Bombardment
Particle Cannons",,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
Empire,Admiral Sloane,,,Infested Fields,ISD 2,Flight Controllers,Boosted Comms,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,"Quasar
Fire 1",Taskmaster Grint,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Howlrunner)","TIE Fighter 
(Black Squadron)",TIE Fighter,TIE Fighter,TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,130,397,,,
Rebel,Commander Sato,,Fighter Ambush,,"MC80 Command
Cruiser",Independence,Toryn Farr,Engine Techs,Boosted Comms,"Electronic 
Countermeasures",Leading Shots,"Quad Battery 
Turrets",,,,,CR90-A,Jaina's Light,,,,,,,,CR90-B,Tantive IV,Hondo Ohnaka,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,"X-wing (Hera 
Syndula)","Moldy Crow 
(Jan Ors)",YT-1300,YT-1300,YT-1300,Z-95,Z-95,Z-95,,,,,,,,,,,102,393,,,
Empire,Admiral Screed,,,,ISD Kuat,Devastator,Reeva Demesne,"Darth Vader 
(Boarding)","Electronic 
Countermeasures",Leading Shots,"Expanded 
Launchers",,,,,,"Onager Star 
Destroyer",Minister Tua,Ordnance Experts,"Weapons Battery
Techs","Electronic 
Countermeasures","Superheavy Composite
Beam Turbolasers",,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,,,,48,391,,,
Empire,General Romodi,Surprise Attack,"Abandoned Mining
Facility",Doomed Station,Onager Testbed,Cataclysm,"Admiral Ozzel
(Officer)",Ordnance Experts,Veteran Gunners,Medical Team,"Orbital Bombardment
Particle Cannons",,,,,,"Interdictor
Suppression",Interdictor,"Darth Vader 
(Officer)",Projection Experts,Proximity Mines,"G7-X Grav Well 
Projector",Targetting Scrambler,Point Defense Ion Cannons,,"Interdictor
Suppression",Captain Needa,Projection Experts,Proximity Mines,"G7-X Grav Well 
Projector",Grav Shift Reroute,Point Defense Ion Cannons,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,Proximity Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,,,,,,,,,0,394,,,
Empire,Moff Jerjerrod,Most Wanted,Asteroid Tactics,Infested Fields,ISD 2,Captain Needa,Flight Controllers,Boosted Comms,"Early Warning
System","Linked Turbolaser
Towers",Point Defense Ion Cannons,,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)","Reserve
Hangar Deck",Comms Net,,,,,,Raider 1,Instigator,Iden Versio,Ordnance Experts,External Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)","JumpMaster 5000
(Tel Trevura)",TIE Interceptor,Firespray-31,Firespray-31,,,,,,,,,,,132,396,,,
Empire,Admiral Sloane,,Rift Ambush,,Raider 1,Hondo Ohnaka,,,,,,,,,,,Onager Testbed,Cataclysm,Veteran Gunners,Engine Techs,Ordnance Experts,"Orbital Bombardment
Particle Cannons",,,,"Quasar
Fire 1",Squall,Taskmaster Grint,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,"TIE Defender 
(Maarek Stele)","Lambda-class Shuttle 
(Colonel Jendon)","TIE Interceptor 
(Soontir Fel)","JumpMaster 5000
(Tel Trevura)",TIE Defender,TIE Defender,"TIE Interceptor 
(Saber Squadron)","TIE Fighter 
(Black Squadron)",,,,,,,,,,,129,399,,,
Empire,Admiral Motti,,Contested Outpost,Infested Fields,ISD 2,Relentless,Director Krennic,Gunnery Team,"Reinforced 
Blast Doors",Spinal Armament,Point Defense Ion Cannons,,,,,,Victory 2,Harrow,Commander Beck,Gunnery Team,Engine Techs,Disposable Capacitors,"Quad Battery 
Turrets",Point Defense Ion Cannons,,"Gozanti
Cruisers",Comms Net,,,,,,Raider 1,Admiral Titus,External Racks,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
Rebel,Krysta Agate,,Asteroid Tactics,Infested Fields,"MC80 Star
Cruiser",Mon Karren,Walex Blissex,"Weapons Battery
Techs",Engine Techs,"Linked Turbolaser
Towers","Turbolaser Reroute 
Circuits","Heavy Ion
Emplacements",,,,,"Hammerhead
Scout",Ahsoka Tano (reb),Ruthless Strategists,,,,,,,"GR-75 Medium
Transports","Leia Organa
(Officer)",Comms Net,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,"Y-wing (Gold 
Squadron)",Scurrg H-6 Bomber,"Shadow Caster 
(Ketsu Onyo)","Millennium Falcon 
(Lando Calrissian)","Ghost (Hera 
Syndulla)","A-wing (Tycho 
Celchu)",YT-2400,,,,,,,,,,,,133,396,,,
Empire,Moff Jerjerrod,,,Dangerous Territory,ISD 2,"Seventh Fleet Star
Destroyer",Expert Shield Tech,Local Fire Control,Proximity Mines,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,ISD 2,"Seventh Fleet Star
Destroyer",Expert Shield Tech,Local Fire Control,Proximity Mines,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,"Gozanti
Cruisers",Proximity Mines,Comms Net,,,,,"Gozanti
Cruisers",Proximity Mines,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,0,393,,,
Rebel,General Cracken,Most Wanted,Asteroid Tactics,,CR90-A,Jaina's Light,Hondo Ohnaka,"Turbolaser Reroute 
Circuits",,,,,,,,,CR90-A,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Bright Hope,Adar Tallon,"Bomber Command 
Center",Boosted Comms,,,"GR-75 Medium
Transports",Quantum Storm,Toryn Farr,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,"Millennium Falcon 
(Lando Calrissian)","Shadow Caster 
(Ketsu Onyo)","Moldy Crow 
(Jan Ors)",A-wing (Shara Bey),"X-wing (Rogue 
Squadron)",X-wing,X-wing,"Y-wing (Gold 
Squadron)",,,,,,,,,,,133,394,,,
Rebel,General Cracken,,,,"MC30c
Torpedo",Foresight,Ordnance Experts,"Assault Proton 
Torpedoes",H9 Turbolasers,,,,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","X-wing (Rogue 
Squadron)",YT-2400,YT-2400,,,,,,,,,,,,,102,392,,,
Separatist,TF-1726,,Fire Lanes,Volatile Deposits,"Hardcell-class
Battle Refit",B2 Rocket Troopers,,,,,,,,,,,"Recusant-class 
Light Destroyer",Tikkes,Ordnance Experts,B2 Rocket Troopers,"Assault Proton 
Torpedoes","Linked Turbolaser
Towers",,,,"Recusant-class 
Light Destroyer",Rune Haako,Ordnance Experts,B2 Rocket Troopers,"Assault Proton 
Torpedoes","Linked Turbolaser
Towers",,"Hardcell-class
Battle Refit",B2 Rocket Troopers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,"Droid Tri-Fighter
(DIS-T81)","Droid Tri-Fighter
(Phlac-Arphocc)",,,,,,,,,,,,,,,,,36,400,,,
Empire,Admiral Ozzel,Most Wanted,,Volatile Deposits,"Interdictor
Suppression",Interdictor,Captain Needa,Projection Experts,Disposable Capacitors,Targetting Scrambler,Grav Shift Reroute,,,,,,ISD 1,Minister Tua,Boarding Troopers,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Parts Resupply,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,"TIE Defender 
(Maarek Stele)","Lambda-class Shuttle 
(Colonel Jendon)","TIE Advanced 
(Zertik Strom)",TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,,,,80,396,,,
Republic,Luminara Unduli,Most Wanted,Capture the VIP,Infested Fields,Venator 2,Tranquility,Intel Officer,Local Fire Control,SPHA-T,Thermal Shields,External Racks,DBY-827 Heavy Turbolasers,,,,,Pelta Transport,Projection Experts,Munitions Resupply,,,,,,,Charger c70,Clone Captain Zak,"Linked Turbolaser
Towers",,,,,Charger c70,Clone Navigation Officer,"Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,"Delta-7
(Ahsoka Tano)","BTL-B Y-Wing
(Anakin Skywalker)","V-19
(Axe)","V-19
(Kickback)",,,,,,,,,,,,,,,75,400,,,
Rebel,Admiral Ackbar,,"Abandoned Mining
Facility",Intel Sweep,"Assault Frigate
Mk2B",Intel Officer,"Caitken and 
Shollan","Electronic 
Countermeasures",Slaved Turrets,,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,"GR-75 Medium
Transports",Comms Net,,,,,,"GR-75 Medium
Transports",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,YT-2400,YT-2400,VCX-100 Freighter,"A-wing (Tycho 
Celchu)",A-wing (Shara Bey),"Ghost (Hera 
Syndulla)",,,,,,,,,,,,,108,388,,,
Republic,Luminara Unduli,,Capture the VIP,,Acclamator 1,Implacable,Boarding Troopers,Flag Bridge,External Racks,Mercy Mission,,,,,,,Venator 1,Tranquility,Expert Shield Tech,Local Fire Control,Flak Guns,Ordnance Pods,DBY-827 Heavy Turbolasers,"Intensify
Firepower",,Charger c70,Radiant VII,Munitions Resupply,,,,,Pelta Transport,Hondo Ohnaka,Projection Experts,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,"Delta-7
(Ahsoka Tano)","BTL-B Y-Wing
(Anakin Skywalker)","V-19
(Axe)","V-19
(Kickback)",,,,,,,,,,,,,,,75,399,,,
Empire,Moff Jerjerrod,Surprise Attack,Contested Outpost,,"Star Dreadnought
Assault Prototype",Ravager,Captain Brunson,Captain Needa,Iden Versio,Gunnery Team,"Linked Turbolaser
Towers",Spinal Armament,,,,,"Gozanti
Cruisers",Repair Crews,,,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,"TIE Interceptor 
(Ciena Ree)","TIE Fighter 
(Valen Rudor)",,,,,,,,,,,,,,,,,30,399,,,
Rebel,General Cracken,,Hyperspace Assault,Volatile Deposits,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,,,,CR90-B,Point Defense Ion Cannons,,,,,,,,CR90-B,Point Defense Ion Cannons,,,,,,CR90-B,Point Defense Ion Cannons,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"MC30c
Torpedo",Foresight,Lando Calrissian,Ordnance Experts,"Assault Proton 
Torpedoes",,,"GR-75 Medium
Transports",Slicer Tools,,,,,,,,,,,,,,,,367,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",,,,,,,,,,,,,,,,,33,400,,,
Empire,Grand Admiral Thrawn,,Asteroid Tactics,Solar Corona,ISD 2,Chimera,Expert Shield Tech,Gunnery Team,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers","Entrapment 
Formation!",,,,,ISD 2,Sovereign,Expert Shield Tech,Gunnery Team,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,"Gozanti
Cruisers",Comms Net,,,,,,"Gozanti
Cruisers",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,0,396,,,
Empire,General Romodi,Most Wanted,Hyperspace Assault,,"Arquitens
Light Cruiser",Expert Shield Tech,"Quad Battery 
Turrets",,,,,,,,,,ISD Kuat,Chimera,Captain Brunson,Local Fire Control,"Reserve
Hangar Deck","Early Warning
System",Point Defense Ion Cannons,External Racks,"Entrapment 
Formation!","Arquitens
Light Cruiser",Expert Shield Tech,"Quad Battery 
Turrets",,,,,"Gozanti
Cruisers",Comms Net,"Reserve
Hangar Deck",,,,,"Gozanti
Cruisers",Comms Net,"Reserve
Hangar Deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,TIE Interceptor,TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,,,,,,44,400,,,
Rebel,Admiral Ackbar,,Contested Outpost,Doomed Station,"MC80 Assault
Cruiser",Home One,Expert Shield Tech,Engine Techs,"Early Warning
System","Electronic 
Countermeasures","Quad Battery 
Turrets",Leading Shots,,,,,"MC80 Assault
Cruiser",Defiance,Expert Shield Tech,Engine Techs,"Early Warning
System","Electronic 
Countermeasures","Quad Battery 
Turrets",Leading Shots,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,"GR-75 Medium
Transports","Leia Organa
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,0,399,,,
Rebel,Krysta Agate,Precision Strike,Rift Ambush,Superior Positions,"MC80 Command
Cruiser",Flight Commander,"Fighter Coordination 
Team","Expanded 
Hangar Bay",,,,,,,,,"Pelta
Command",Adar Tallon,Boosted Comms,"All Fighters, 
Follow Me!",,,,,,"GR-75 Medium
Transports",Wedge Antilles (Officer),"Bomber Command 
Center",,,,,"GR-75 Medium
Transports",Toryn Farr,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,"X-wing (Luke 
Skywalker)","Moldy Crow 
(Jan Ors)",YT-1300,"Y-wing (Norra 
Wexley)",B-wing,B-wing,B-wing,B-wing,,,,,,,,,,,125,398,,,
